,OrderNumber,OrderDate,Customer Name Index,Channel,Currency Code,Warehouse Code,Delivery Region Index,Product Description Index,Order Quantity,Unit Price,Line Total,Total Unit Cost,Customer Index,Customer Names,Index,Product Name,id,name,county,state_code,state,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone,State Code,Region
10541,SO - 0007682,2014-09-07,49,Distributor,USD,NXH382,118,25,10,1849.2,18492.0,887.616,49,Skyvu Group,25,Product 25,118,Livermore,Alameda County,CA,California,City,37.68187,-121.76801,925,88126,30182,100992,69725238,9862,America/Los Angeles,CA,West
10542,SO - 0010461,2014-09-07,13,Wholesale,USD,GUT930,661,25,9,817.4,7356.599999999999,678.4419999999999,13,Nexus Group,25,Product 25,661,Greenville,Pitt County,NC,North Carolina,City,35.61266,-77.36635,252,90597,35367,34435,90639335,1957937,America/New York,NC,South
10543,SO - 0008567,2014-09-07,125,Wholesale,USD,NXH382,525,25,8,3611.3,28890.4,2058.441,125,Zooveo Company,25,Product 25,525,Wichita,Sedgwick County,KS,Kansas,City,37.69224,-97.33754,316,389965,150683,45947,415365564,11294497,America/Chicago,KS,Midwest
10544,SO - 0009520,2014-09-07,113,Wholesale,USD,FLR025,121,14,9,1742.0,15678.0,1323.92,113,Talane Group,14,Product 14,121,Los Angeles,Los Angeles County,CA,California,City,34.05223,-118.24368,213,3971883,1342761,50205,1214027148,88124562,America/Los Angeles,CA,West
10545,SO - 0001098,2014-09-08,31,Wholesale,USD,AXW291,718,30,11,1675.0,18425.0,1155.75,31,Golden Corp,30,Product 30,718,Rio Rancho,Sandoval County/Bernalillo County,NM,New Mexico,City,35.28507,-106.69887,505,94171,32511,60893,267988009,828097,America/Denver,NM,West
10546,SO - 0006172,2014-09-08,148,Wholesale,USD,AXW291,961,4,5,3999.9,19999.5,2319.942,148,Jabbercube Corp,4,Product 4,961,Federal Way,King County,WA,Washington,City,47.32232,-122.31262,253,95171,34117,55673,57690704,530889,America/Los Angeles,WA,West
10547,SO - 0006391,2014-09-08,116,Distributor,USD,AXW291,536,26,9,3691.7000000000003,33225.3,2104.269,116,Epic Group,26,Product 26,536,New Orleans,Orleans Parish,LA,Louisiana,City,29.95465,-90.07507,504,389617,153140,36792,438799508,467299606,America/Chicago,LA,South
10548,SO - 0007888,2014-09-08,31,Export,USD,AXW291,591,14,10,6425.3,64253.0,5204.493,31,Golden Corp,14,Product 14,591,Grand Rapids,Kent County,MI,Michigan,City,42.96336,-85.66809,616,195097,73026,40355,115103540,2252017,America/Detroit,MI,Midwest
10549,SO - 0008086,2014-09-08,42,Distributor,USD,AXW291,41,25,9,254.6,2291.4,137.484,42,Colgate-Pa Group,25,Product 25,41,Anaheim,Orange County,CA,California,City,33.83529,-117.9145,657,350742,99670,60752,129438076,2457142,America/Los Angeles,CA,West
10550,SO - 0008831,2014-09-08,158,Distributor,USD,AXW291,43,26,10,1983.2,19832.0,1189.92,158,Linklinks Ltd,26,Product 26,43,Apple Valley,San Bernardino County,CA,California,Town,34.50083,-117.18588,760,72174,23727,47938,192802312,855894,America/Los Angeles,CA,West
10551,SO - 000490,2014-09-08,159,Wholesale,USD,AXW291,442,26,7,234.5,1641.5,187.60000000000002,159,Quaxo Ltd,26,Product 26,442,Orland Park,Cook County/Will County,IL,Illinois,Village,41.60815,-87.85929,708,58619,22048,81453,56938629,736535,America/Chicago,IL,Midwest
10552,SO - 0001965,2014-09-08,28,Wholesale,USD,GUT930,709,23,7,5815.6,40709.200000000004,4303.544,28,Army Group,23,Product 23,709,Trenton,Mercer County,NJ,New Jersey,City,40.21705,-74.74294,609,84225,27844,34257,19589280,1659888,America/New York,NJ,Northeast
10553,SO - 0002151,2014-09-08,39,Wholesale,USD,AXW291,425,11,9,1855.9,16703.100000000002,1317.689,39,Kazu Corp,11,Product 11,425,Lisle (Township),DuPage County,IL,Illinois,Township,41.77193,-88.09209,630,119818,45377,86610,91532435,1583080,America/Chicago,IL,Midwest
10554,SO - 0004730,2014-09-08,132,Export,USD,AXW291,908,26,7,1855.9,12991.300000000001,760.919,132,CLINIQUE Ltd,26,Product 26,908,Pharr,Hidalgo County,TX,Texas,City,26.1948,-98.18362,956,76538,20402,34708,61000341,71524,America/Chicago,TX,South
10555,SO - 0004758,2014-09-08,33,Export,USD,AXW291,8,6,9,1132.3,10190.699999999999,837.9019999999999,33,Cadila Ltd,6,Product 6,8,Montgomery,Montgomery County,AL,Alabama,City,32.36681,-86.29997,334,200602,79866,42927,413985435,4411954,America/Chicago,AL,South
10556,SO - 0005598,2014-09-08,99,Wholesale,USD,AXW291,747,26,7,268.0,1876.0,182.24,99,Flipbug Ltd,26,Product 26,747,Huntington,Suffolk County,NY,New York,Town,40.88409,-73.37676,631,204398,69000,105451,243808665,111325968,America/New York,NY,Northeast
10557,SO - 0007261,2014-09-08,56,Distributor,USD,GUT930,370,14,10,964.8000000000001,9648.0,578.88,56,Realpoint Corp,14,Product 14,370,Ankeny,Polk County,IA,Iowa,City,41.72971,-93.60577,515,56764,19569,75465,76091403,0,America/Chicago,IA,Midwest
10558,SO - 0009769,2014-09-08,55,Distributor,USD,NXH382,153,24,6,984.9,5909.4,748.524,55,American Corp,24,Product 24,153,Pittsburg,Contra Costa County,CA,California,City,38.02798,-121.88468,925,69424,20180,60777,44518679,5074288,America/Los Angeles,CA,West
10559,SO - 0010469,2014-09-08,48,Distributor,USD,GUT930,303,25,6,1065.3,6391.799999999999,671.139,48,Rochester Group,25,Product 25,303,Jacksonville,Duval County,FL,Florida,City,30.33218,-81.65565,904,868031,318575,46764,1935873371,329424471,America/New York,FL,South
10560,SO - 000390,2014-09-08,86,Distributor,USD,FLR025,51,26,5,1721.9,8609.5,1377.5200000000002,86,Voolith Ltd,26,Product 26,51,Buena Park,Orange County,CA,California,City,33.86751,-117.99812,657,83270,23130,70588,27246148,65361,America/Los Angeles,CA,West
10561,SO - 0002755,2014-09-08,98,Distributor,USD,AXW291,156,13,10,904.5,9045.0,606.015,98,Natures Group,13,Product 13,156,Pomona,Los Angeles County,CA,California,City,34.05529,-117.75228,909,153266,39378,49186,59446734,26188,America/Los Angeles,CA,West
10562,SO - 0004799,2014-09-08,103,Export,USD,AXW291,984,26,11,1788.9,19677.9,1234.341,103,Skajo Ltd,26,Product 26,984,Janesville,Rock County,WI,Wisconsin,City,42.68279,-89.01872,608,64123,25930,49001,87472640,1558124,America/Chicago,WI,Midwest
10563,SO - 0005287,2014-09-08,121,Distributor,USD,NXH382,477,15,10,2244.5,22445.0,1167.14,121,Tambee Company,15,Product 15,477,Center,Marion County,IN,Indiana,Township,39.77485,-86.13949,317,147837,59947,27572,108522566,2102238,America/Indiana/Indianapolis,IN,Midwest
10564,SO - 0007982,2014-09-08,156,Export,USD,GUT930,729,1,6,2586.2000000000003,15517.2,1784.478,156,Actavis Company,1,Product 1,729,Sunrise Manor,Clark County,NV,Nevada,CDP,36.21108,-115.07306,702,187647,60366,39586,86444651,0,America/Los Angeles,NV,West
10565,SO - 0008881,2014-09-08,116,Distributor,USD,NXH382,735,25,9,1206.0,10854.0,747.72,116,Epic Group,25,Product 25,735,Brooklyn,Kings County,NY,New York,Borough,40.62472,-73.95222,347,2636735,880727,32135,180000000,70000000,America/New York,NY,Northeast
10566,SO - 0010544,2014-09-08,152,Wholesale,USD,AXW291,606,14,6,864.3000000000001,5185.8,656.868,152,Eayo Company,14,Product 14,606,Troy,Oakland County,MI,Michigan,City,42.60559,-83.14993,248,83280,30812,85027,86682873,446701,America/Detroit,MI,Midwest
10567,SO - 0001427,2014-09-08,124,Wholesale,USD,GUT930,769,15,8,2499.1,19992.8,1399.496,124,Roomm Company,15,Product 15,769,Tonawanda (Town),Erie County,NY,New York,Town,42.98337,-78.87567,716,72937,32723,53760,48523623,3998029,America/New York,NY,Northeast
10568,SO - 0003723,2014-09-08,7,Export,USD,NXH382,639,19,12,1849.2,22190.4,1312.932,7,Skidoo Company,19,Product 19,639,O'Fallon,St. Charles County,MO,Missouri,City,38.81061,-90.69985,636,85040,29811,78266,76915110,12882,America/Chicago,MO,Midwest
10569,SO - 0010063,2014-09-08,55,Wholesale,USD,GUT930,887,9,11,2666.6,29332.6,2239.944,55,American Corp,9,Product 9,887,Houston,Fort Bend County/Harris County/Montgomery County,TX,Texas,City,29.78664,-95.3909,832,2296224,814599,46187,1651228436,73316071,America/Chicago,TX,South
10570,SO - 000103,2014-09-08,8,Export,USD,GUT930,750,14,10,1775.5,17755.0,781.22,8,Amerisourc Corp,14,Product 14,750,Islip,Suffolk County,NY,New York,Town,40.71258,-73.19552,631,336113,101387,86864,268844871,153259682,America/New York,NY,Northeast
10571,SO - 000955,2014-09-08,62,Wholesale,USD,GUT930,775,1,11,1005.0,11055.0,763.8,62,Topiczoom Corp,1,Product 1,775,Beavercreek (Township),Greene County,OH,Ohio,Township,39.72765,-84.03425,937,53427,21060,85670,126434953,1187375,America/New York,OH,Midwest
10572,SO - 0002177,2014-09-08,166,Distributor,USD,GUT930,554,5,5,931.3000000000001,4656.5,707.788,166,Brainspher Ltd,5,Product 5,554,Newton,Middlesex County,MA,Massachusetts,City,42.33704,-71.20922,857,88817,31077,122080,46180690,843989,America/New York,MA,Northeast
10573,SO - 0003875,2014-09-08,102,Distributor,USD,GUT930,596,3,8,2613.0,20904.0,1907.49,102,Linkbuzz Ltd,3,Product 3,596,Macomb,Macomb County,MI,Michigan,Township,42.67403,-82.91677,586,86973,27989,85402,93824550,306013,America/Detroit,MI,Midwest
10574,SO - 0005555,2014-09-08,170,Wholesale,USD,FLR025,534,22,8,911.2,7289.6,610.504,170,SEINDNI Corp,22,Product 22,534,Lake Charles,Calcasieu Parish,LA,Louisiana,City,30.22659,-93.21738,337,76070,30141,36751,109084594,7216941,America/Chicago,LA,South
10575,SO - 0005878,2014-09-08,100,Distributor,USD,AXW291,962,29,5,207.70000000000002,1038.5,120.46600000000001,100,Aibox Company,29,Product 29,962,Kennewick,Benton County,WA,Washington,City,46.21125,-119.13723,509,78896,27457,51661,70996558,3663434,America/Los Angeles,WA,West
10576,SO - 0007827,2014-09-08,13,Wholesale,USD,NXH382,632,21,10,167.5,1675.0,107.2,13,Nexus Group,21,Product 21,632,Blue Springs,Jackson County,MO,Missouri,City,39.01695,-94.28161,816,54148,19132,63753,57890712,199618,America/Chicago,MO,Midwest
10577,SO - 0008992,2014-09-08,53,Export,USD,AXW291,688,15,10,1768.8,17688.0,955.152,53,Kare Corp,15,Product 15,688,Hamilton,Mercer County,NJ,New Jersey,Township,40.20627,-74.67527,609,89030,33496,70996,102028629,2407916,America/New York,NJ,Northeast
10578,SO - 0010065,2014-09-08,63,Wholesale,USD,NXH382,525,14,10,1078.7,10787.0,474.62800000000004,63,Pfizer Corp,14,Product 14,525,Wichita,Sedgwick County,KS,Kansas,City,37.69224,-97.33754,316,389965,150683,45947,415365564,11294497,America/Chicago,KS,Midwest
10579,SO - 0004658,2014-09-08,23,Wholesale,USD,GUT930,438,15,7,2278.0,15946.0,1116.22,23,Devpoint Group,15,Product 15,438,Oak Lawn,Cook County,IL,Illinois,Village,41.71087,-87.75811,708,56781,21527,56185,22198794,59,America/Chicago,IL,Midwest
10580,SO - 0006022,2014-09-08,173,Wholesale,USD,GUT930,125,13,11,1742.0,19162.0,992.9399999999999,173,H Ltd,13,Product 13,125,Menifee,Riverside County,CA,California,City,33.72835,-117.14642,951,87174,27524,55985,120362837,388769,America/Los Angeles,CA,West
10581,SO - 0006302,2014-09-08,63,Export,USD,AXW291,735,18,10,3953.0,39530.0,3360.0499999999997,63,Pfizer Corp,18,Product 18,735,Brooklyn,Kings County,NY,New York,Borough,40.62472,-73.95222,347,2636735,880727,32135,180000000,70000000,America/New York,NY,Northeast
10582,SO - 0008089,2014-09-08,20,Distributor,USD,GUT930,78,14,12,3825.7000000000003,45908.4,2792.761,20,Tagfeed Ltd,14,Product 14,78,Eastvale,Riverside County,CA,California,City,33.96358,-117.56418,951,59039,13189,110927,32797626,1164576,America/Los Angeles,CA,West
10583,SO - 0009848,2014-09-08,45,Distributor,USD,FLR025,953,25,11,830.8000000000001,9138.800000000001,548.3280000000001,45,State Ltd,25,Product 25,953,Roanoke,Roanoke city,VA,Virginia,City,37.27097,-79.94143,540,99897,42239,39930,110141397,882886,America/New York,VA,South
10584,SO - 0009493,2014-09-08,22,Wholesale,USD,NXH382,313,30,5,1956.4,9782.0,1545.556,22,SAFEWAY Ltd,30,Product 30,313,Melbourne,Brevard County,FL,Florida,City,28.08363,-80.60811,321,80127,33619,40219,97226478,14784473,America/New York,FL,South
10585,SO - 0001500,2014-09-09,20,Wholesale,USD,AXW291,191,19,5,1842.5,9212.5,1308.175,20,Tagfeed Ltd,19,Product 19,191,Santa Monica,Los Angeles County,CA,California,City,34.01945,-118.49119,424,93220,46688,76580,21795228,3025,America/Los Angeles,CA,West
10586,SO - 0002395,2014-09-09,8,Distributor,USD,AXW291,895,22,8,1092.1000000000001,8736.800000000001,688.0230000000001,8,Amerisourc Corp,22,Product 22,895,Mansfield,Johnson County/Tarrant County/Ellis County,TX,Texas,City,32.56919,-97.12053,682,64274,20336,90089,94883095,113126,America/Chicago,TX,South
10587,SO - 0002423,2014-09-09,121,Wholesale,USD,AXW291,196,26,8,221.1,1768.8,168.036,121,Tambee Company,26,Product 26,196,South San Francisco,San Mateo County,CA,California,City,37.65472,-122.40778,650,67271,21136,81439,23769810,54435146,America/Los Angeles,CA,West
10588,SO - 0004038,2014-09-09,128,Distributor,USD,AXW291,731,20,5,3946.3,19731.5,1736.372,128,Cantrell Company,20,Product 20,731,Amherst,Erie County,NY,New York,Town,43.01164,-78.75715,716,125109,49558,68294,137777476,1003270,America/New York,NY,Northeast
10589,SO - 0004783,2014-09-09,125,Wholesale,USD,AXW291,768,26,11,3162.4,34786.4,1676.0720000000001,125,Zooveo Company,26,Product 26,768,Tonawanda (CDP),Erie County,NY,New York,CDP,43.02033,-78.88032,716,58204,25691,54345,44804907,3998029,America/New York,NY,Northeast
10590,SO - 0005327,2014-09-09,131,Distributor,USD,AXW291,889,13,7,864.3000000000001,6050.1,596.367,131,Rooxo Company,13,Product 13,889,Killeen,Bell County,TX,Texas,City,31.11712,-97.7278,254,140806,46952,47763,138670219,1727829,America/Chicago,TX,South
10591,SO - 0007326,2014-09-09,168,Distributor,USD,AXW291,268,7,10,2231.1,22311.0,1383.282,168,Podcat Corp,7,Product 7,268,Stamford (Town),Fairfield County,CT,Connecticut,Town,41.07986,-73.54603,203,128874,46974,79359,97430571,37323740,America/New York,CT,Northeast
10592,SO - 0009551,2014-09-09,48,Wholesale,USD,AXW291,608,26,6,2371.8,14230.800000000001,1778.8500000000001,48,Rochester Group,26,Product 26,608,Waterford,Oakland County,MI,Michigan,Charter Township,42.66198,-83.38792,248,73040,30127,55552,79281617,11868065,America/Detroit,MI,Midwest
10593,SO - 0008859,2014-09-09,53,Wholesale,USD,GUT930,110,27,8,857.6,6860.8,360.192,53,Kare Corp,27,Product 27,110,Jurupa Valley,Riverside County,CA,California,City,34.00259,-117.46761,951,100314,24839,57749,111216400,1914744,America/Los Angeles,CA,West
10594,SO - 0008368,2014-09-09,106,Distributor,USD,GUT930,223,13,5,3457.2000000000003,17286.0,1486.596,106,Organon Corp,13,Product 13,223,Yucaipa,San Bernardino County,CA,California,City,34.03363,-117.04309,909,53328,18198,56452,73532054,0,America/Los Angeles,CA,West
10595,SO - 000998,2014-09-09,81,Wholesale,USD,AXW291,485,6,9,3852.5,34672.5,2157.4,81,General Company,6,Product 6,485,Fort Wayne,Allen County,IN,Indiana,City,41.1306,-85.12886,260,260326,102273,43774,286488211,549748,America/Indiana/Indianapolis,IN,Midwest
10596,SO - 0001052,2014-09-09,80,Export,USD,GUT930,568,13,5,1333.3,6666.5,786.6469999999999,80,Realbuzz Ltd,13,Product 13,568,Bowie,Prince George's County,MD,Maryland,City,38.94278,-76.73028,301,58025,19885,105959,49107130,236872,America/New York,MD,South
10597,SO - 0004111,2014-09-09,15,Distributor,USD,FLR025,637,1,11,857.6,9433.6,377.344,15,Centizu Company,1,Product 1,637,Kansas City,Cass County/Platte County/Jackson County/Clay County,MO,Missouri,City,39.12513,-94.55103,816,475378,195033,45821,815780419,10370518,America/Chicago,MO,Midwest
10598,SO - 0004323,2014-09-09,17,Distributor,USD,AXW291,652,12,10,6505.7,65057.0,2927.565,17,Liberty Group,12,Product 12,652,Burlington,Alamance County/Guilford County,NC,North Carolina,City,36.07613,-79.4683,336,52472,21562,36140,75533002,3947235,America/New York,NC,South
10599,SO - 0005495,2014-09-09,129,Distributor,USD,GUT930,376,1,5,2358.4,11792.0,990.528,129,Sanum-Kehl Group,1,Product 1,376,Iowa City,Johnson County,IA,Iowa,City,41.66113,-91.53017,319,74220,28985,42375,67167680,734599,America/Chicago,IA,Midwest
10600,SO - 0006188,2014-09-09,42,Distributor,USD,NXH382,590,16,12,5400.2,64802.399999999994,3780.1399999999994,42,Colgate-Pa Group,16,Product 16,590,Georgetown,Ottawa County,MI,Michigan,Charter Township,42.90538,-85.8446,616,50340,17272,62910,85833461,2483310,America/Detroit,MI,Midwest
10601,SO - 0007148,2014-09-09,164,Wholesale,USD,AXW291,735,25,9,1983.2,17848.8,1408.072,164,Divanoodle Ltd,25,Product 25,735,Brooklyn,Kings County,NY,New York,Borough,40.62472,-73.95222,347,2636735,880727,32135,180000000,70000000,America/New York,NY,Northeast
10602,SO - 0007938,2014-09-09,109,Wholesale,USD,NXH382,120,13,12,2539.3,30471.600000000002,1371.2220000000002,109,WOCKHARDT Group,13,Product 13,120,Long Beach,Los Angeles County,CA,California,City,33.76696,-118.18923,562,474140,164406,52783,130317967,3004950,America/Los Angeles,CA,West
10603,SO - 0008165,2014-09-09,159,Distributor,USD,AXW291,948,19,12,964.8000000000001,11577.6,530.6400000000001,159,Quaxo Ltd,19,Product 19,948,Newport News,Newport News city,VA,Virginia,City,36.97876,-76.428,757,182385,69073,50077,178921044,130901482,America/New York,VA,South
10604,SO - 0001344,2014-09-09,123,Wholesale,USD,AXW291,210,16,5,2271.3,11356.5,1294.641,123,Muxo Group,16,Product 16,210,Vallejo,Solano County,CA,California,City,38.10409,-122.25664,707,121253,41216,57028,79438815,48871171,America/Los Angeles,CA,West
10605,SO - 0004999,2014-09-09,81,Wholesale,USD,NXH382,113,16,9,6277.900000000001,56501.100000000006,4520.088000000001,81,General Company,16,Product 16,113,Lake Elsinore,Riverside County,CA,California,City,33.66808,-117.32726,951,61981,15462,61248,98470406,14031927,America/Los Angeles,CA,West
10606,SO - 0009846,2014-09-09,40,Distributor,USD,GUT930,553,1,11,864.3000000000001,9507.300000000001,388.93500000000006,40,Twinte Group,1,Product 1,553,New Bedford,Bristol County,MA,Massachusetts,City,41.63622,-70.93421,774,94958,39141,37574,51792301,10707139,America/New York,MA,Northeast
10607,SO - 0001020,2014-09-09,18,Distributor,USD,NXH382,214,27,10,194.3,1943.0,137.953,18,Omba Group,27,Product 27,214,Walnut Creek,Contra Costa County,CA,California,City,37.90631,-122.06496,925,68910,30317,82120,51175071,31195,America/Los Angeles,CA,West
10608,SO - 0005384,2014-09-09,14,Wholesale,USD,AXW291,964,1,12,1072.0,12864.0,621.76,14,Alembic Ltd,1,Product 1,964,Kirkland,King County,WA,Washington,City,47.68149,-122.20874,425,87281,35367,92127,46148574,31229,America/Los Angeles,WA,West
10609,SO - 0006265,2014-09-09,89,Wholesale,USD,AXW291,447,15,10,1105.5,11055.0,674.355,89,Internatio Company,15,Product 15,447,Peoria,Peoria County,IL,Illinois,City,40.69365,-89.58899,309,115070,47239,45552,124916605,5748402,America/Chicago,IL,Midwest
10610,SO - 0006971,2014-09-09,62,Wholesale,USD,AXW291,970,4,10,221.1,2211.0,119.394,62,Topiczoom Corp,4,Product 4,970,Renton,King County,WA,Washington,City,47.48288,-122.21707,425,100242,37994,64802,60663567,511360,America/Los Angeles,WA,West
10611,SO - 0002055,2014-09-09,95,Wholesale,USD,AXW291,932,11,5,1185.9,5929.5,960.5790000000002,95,Realbridge Corp,11,Product 11,932,Salt Lake City,Salt Lake County,UT,Utah,City,40.76078,-111.89105,385,192672,75330,47243,288044514,1216737,America/Denver,UT,West
10612,SO - 0002605,2014-09-09,115,Distributor,USD,GUT930,121,15,9,247.9,2231.1,153.698,115,Dynazzy Company,15,Product 15,121,Los Angeles,Los Angeles County,CA,California,City,34.05223,-118.24368,213,3971883,1342761,50205,1214027148,88124562,America/Los Angeles,CA,West
10613,SO - 0002781,2014-09-09,34,Distributor,USD,AXW291,289,6,5,1125.6000000000001,5628.000000000001,765.4080000000001,34,Z.H.T. Group,6,Product 6,289,Coral Springs,Broward County,FL,Florida,City,26.27119,-80.2706,954,129485,40571,66430,61625913,520928,America/New York,FL,South
10614,SO - 0003524,2014-09-09,125,Wholesale,USD,AXW291,795,1,9,984.9,8864.1,512.148,125,Zooveo Company,1,Product 1,795,Youngstown,Trumbull County/Mahoning County,OH,Ohio,City,41.0991,-80.6459,330,64628,26731,24133,87970293,1644959,America/New York,OH,Midwest
10615,SO - 0005439,2014-09-09,98,Wholesale,USD,AXW291,660,26,6,180.9,1085.4,139.293,98,Natures Group,26,Product 26,660,Greensboro,Guilford County,NC,North Carolina,City,36.07264,-79.79198,336,285342,114080,41628,332338206,13707999,America/New York,NC,South
10616,SO - 0009534,2014-09-09,16,Wholesale,USD,AXW291,586,17,5,5219.3,26096.5,3027.194,16,Arbor Company,17,Product 17,586,Dearborn Heights,Wayne County,MI,Michigan,City,42.33698,-83.27326,313,56145,20646,44620,30402482,22745,America/Detroit,MI,Midwest
10617,SO - 0002034,2014-09-09,21,Wholesale,USD,GUT930,190,7,8,1065.3,8522.4,681.792,21,Viva Ltd,7,Product 7,190,Santa Maria,Santa Barbara County,CA,California,City,34.95303,-120.43572,805,105093,27365,50433,59005328,1648788,America/Los Angeles,CA,West
10618,SO - 0002863,2014-09-09,120,Distributor,USD,GUT930,434,13,7,6097.0,42679.0,4877.6,120,Chatterbri Ltd,13,Product 13,434,Niles (Township),Cook County,IL,Illinois,Township,42.03209,-87.75778,847,106229,37478,69857,55058020,0,America/Chicago,IL,Midwest
10619,SO - 0003132,2014-09-09,101,Wholesale,USD,FLR025,983,26,12,1112.2,13346.400000000001,456.002,101,Feednation Corp,26,Product 26,983,Green Bay,Brown County,WI,Wisconsin,City,44.51916,-88.01983,920,105207,42308,42826,117673093,27054147,America/Chicago,WI,Midwest
10620,SO - 0004697,2014-09-09,168,Wholesale,USD,AXW291,160,26,7,958.1,6706.7,594.022,168,Podcat Corp,26,Product 26,160,Rancho Cucamonga,San Bernardino County,CA,California,City,34.1064,-117.59311,909,175236,55240,77396,103562370,24723,America/Los Angeles,CA,West
10621,SO - 0006432,2014-09-09,114,Distributor,USD,NXH382,97,13,11,1896.1000000000001,20857.100000000002,1573.7630000000001,114,Terumo Corp,13,Product 13,97,Glendora,Los Angeles County,CA,California,City,34.13612,-117.86534,626,52009,16722,75148,50251851,403066,America/Los Angeles,CA,West
10622,SO - 0009606,2014-09-09,40,Wholesale,USD,AXW291,106,15,11,2907.8,31985.800000000003,1570.2120000000002,40,Twinte Group,15,Product 15,106,Huntington Park,Los Angeles County,CA,California,City,33.98168,-118.22507,323,59430,14559,34887,7802459,8354,America/Los Angeles,CA,West
10623,SO - 0010066,2014-09-09,61,Wholesale,USD,AXW291,59,5,5,6003.2,30016.0,4322.304,61,Eidel Corp,5,Product 5,59,Chico,Butte County,CA,California,City,39.72849,-121.83748,530,90316,34791,42342,85341862,445536,America/Los Angeles,CA,West
10624,SO - 0001850,2014-09-10,12,Wholesale,USD,AXW291,941,14,12,991.6,11899.2,694.12,12,Realcube Company,14,Product 14,941,Centreville,Fairfax County,VA,Virginia,CDP,38.84039,-77.42888,571,73677,24618,105278,30936668,299660,America/New York,VA,South
10625,SO - 0002417,2014-09-10,137,Export,USD,AXW291,988,26,5,241.20000000000002,1206.0,101.304,137,Aldi Ltd,26,Product 26,988,Milwaukee,Milwaukee County/Washington County/Waukesha County,WI,Wisconsin,City,43.06335,-87.9667,414,600155,230807,35958,249128870,1720458,America/Chicago,WI,Midwest
10626,SO - 0005903,2014-09-10,15,Wholesale,USD,AXW291,918,25,7,2472.3,17306.100000000002,1236.15,15,Centizu Company,25,Product 25,918,Sugar Land,Fort Bend County,TX,Texas,City,29.61968,-95.63495,832,88156,27587,104939,87000646,5422337,America/Chicago,TX,South
10627,SO - 0007128,2014-09-10,73,Wholesale,USD,AXW291,354,25,6,5118.8,30712.800000000003,2303.46,73,Deseret Group,25,Product 25,354,Athens,Clarke County,GA,Georgia,Unified Government,33.95219,-83.36715,706,123912,45389,39464,308738452,4741286,America/New York,GA,South
10628,SO - 0007489,2014-09-10,79,Distributor,USD,AXW291,77,27,9,2398.6,21587.399999999998,1703.0059999999999,79,Blogspan Ltd,27,Product 27,77,East Los Angeles,Los Angeles County,CA,California,CDP,34.0239,-118.17202,323,127610,31400,38766,19298247,11013,America/Los Angeles,CA,West
10629,SO - 0008885,2014-09-10,163,Wholesale,USD,AXW291,784,2,5,1943.0,9715.0,1651.55,163,Zava Group,2,Product 2,784,Hamilton,Butler County,OH,Ohio,City,39.3995,-84.56134,513,62407,23849,40427,55600338,1102113,America/New York,OH,Midwest
10630,SO - 0009859,2014-09-10,133,Distributor,USD,AXW291,215,28,9,2458.9,22130.100000000002,1180.272,133,Mydo Corp,28,Product 28,215,Watsonville,Santa Cruz County,CA,California,City,36.91023,-121.75689,831,53628,14216,46018,17320714,249705,America/Los Angeles,CA,West
10631,SO - 000829,2014-09-10,83,Distributor,USD,AXW291,689,25,8,3021.7000000000003,24173.600000000002,1661.9350000000002,83,sanofi-ave Group,25,Product 25,689,Hoboken,Hudson County,NJ,New Jersey,City,40.74399,-74.03236,551,53635,24579,114381,3238025,1942200,America/New York,NJ,Northeast
10632,SO - 0002311,2014-09-10,10,Wholesale,USD,NXH382,665,14,7,1922.9,13460.300000000001,1519.0910000000001,10,Unit Ltd,14,Product 14,665,Raleigh,Durham County/Wake County,NC,North Carolina,City,35.8306,-78.64177,919,451066,170366,55398,375740493,2876470,America/New York,NC,South
10633,SO - 0003737,2014-09-10,76,Distributor,USD,AXW291,458,25,6,2311.5,13869.0,1733.625,76,NARS Group,25,Product 25,458,St. Charles (Township),Kane County,IL,Illinois,Township,41.94151,-88.321,630,51812,18766,92472,90236917,1907075,America/Chicago,IL,Midwest
10634,SO - 0004899,2014-09-10,155,Wholesale,USD,GUT930,115,1,12,877.7,10532.400000000001,465.18100000000004,155,Zoomdog Corp,1,Product 1,115,Lakewood,Los Angeles County,CA,California,City,33.85363,-118.13396,562,81611,26083,79193,24394508,133056,America/Los Angeles,CA,West
10635,SO - 0006539,2014-09-10,139,Wholesale,USD,AXW291,491,28,12,730.3000000000001,8763.6,481.99800000000005,139,Zoomzone Corp,28,Product 28,491,Indianapolis,Marion County.,IN,Indiana,City,39.778,-86.14584,317,862781,316037,51682,949109238,16893545,America/Indiana/Indianapolis,IN,Midwest
10636,SO - 0006617,2014-09-10,141,Distributor,USD,AXW291,10,4,12,4013.3,48159.600000000006,2568.512,141,Skinder Group,4,Product 4,10,Conway,Faulkner County,AR,Arkansas,City,35.0887,-92.4421,501,64980,23439,47504,119284002,648518,America/Chicago,AR,South
10637,SO - 0008699,2014-09-10,42,Wholesale,USD,AXW291,442,18,12,3993.2000000000003,47918.4,1916.736,42,Colgate-Pa Group,18,Product 18,442,Orland Park,Cook County/Will County,IL,Illinois,Village,41.60815,-87.85929,708,58619,22048,81453,56938629,736535,America/Chicago,IL,Midwest
